"","botid","timestamp","coordinates_long","coordinates_lat","quality","coordinates_lat_end","coordinates_long_end"
"328","6D101",1500879792,24.671365,59.400085,3,59.4001565,24.6724335
"329","6D101",1500879860,24.6724615,59.40016,4,59.4003575,24.6741235
"330","6D101",1500879920,24.6741515,59.400361,4,59.400411,24.674546
"331","6D101",1500880095,24.674546,59.400411,4,59.400487,24.675091
"332","6D101",1500880253,24.6751015,59.4004885,4,59.400731,24.676514
"333","6D101",1500880316,24.6765345,59.400741,4,59.400908,24.676805
"334","6D101",1500880490,24.676805,59.400908,4,59.401475,24.67741
"335","6D101",1500880573,24.677408,59.401475,4,59.401835,24.677782
"336","6D101",1500880702,24.6777973333333,59.401847,4,59.402394,24.6783725
"337","6D101",1500880770,24.6783815,59.402405,4,59.4029553333333,24.6789603333333
"338","6D101",1500880858,24.678972,59.402966,4,59.4037115,24.6797585
"339","6D101",1500880918,24.679773,59.403726,4,59.4042205,24.680291
"340","6D101",1500880987,24.680306,59.404235,4,59.404834,24.680856
"341","6D101",1500881060,24.680856,59.404834,3,59.4050815,24.6809135
"342","6D101",1500881183,24.6808825,59.405082,4,59.4051275,24.679196
"343","6D101",1500881243,24.679167,59.405129,4,59.405133,24.67758325
"344","6D101",1500881304,24.677583,59.405133,4,59.405061,24.6764035
"345","6D101",1500881381,24.676372,59.405058,4,59.4048675,24.674725
"346","6D101",1500881441,24.6746975,59.404864,4,59.404757,24.674058
"347","6D101",1500881514,24.6740253333333,59.4047526666667,4,59.404575,24.6727055
"348","6D101",1500881582,24.6726775,59.404572,4,59.404375,24.671213
"349","6D101",1500881642,24.6711875,59.404372,4,59.4041815,24.6695355
"350","6D101",1500881702,24.6695083333333,59.404181,3,59.404157,24.668874
"351","6D101",1500881811,24.6688675,59.4041525,4,59.404075,24.668842
"352","6D101",1500882008,24.668848,59.404076,3,59.4038815,24.66889
"353","6D101",1500882155,24.668867,59.4038785,4,59.403771,24.667986
"354","6D101",1500882255,24.667986,59.403771,4,59.403607,24.6666755
"355","6D101",1500882331,24.6666445,59.403603,4,59.4033923333333,24.6651006666667
"356","6D101",1500882391,24.665087,59.40339,4,59.403108,24.6639963333333
"357","6D101",1500882461,24.663972,59.4030995,4,59.402756,24.6632035
"358","6D101",1500882538,24.663201,59.402755,4,59.402414,24.662469
"359","6D101",1500882635,24.6624535,59.402407,4,59.4020925,24.6617865
"360","6D101",1500882709,24.6617855,59.402092,4,59.401656,24.6608785
